,retorno_anual
ED,0.08723123965295294
EFX,0.14972228485340236
EG,0.13680807554834148
EIX,0.046693502651173405
EL,-0.194096103877238
ELV,-0.049817625253127745
EME,0.6217567706070083
EMN,0.024919923749278573
EMR,0.2376255321294845
EOG,0.039355023143812895
EPAM,-0.20856525380438917
EQIX,0.15109175434490255
EQR,0.040989679879482106
EQT,0.16209840996179242
ERIE,0.16381920732668068
ES,0.03676271550274247
ESS,0.0944707940070983
ETN,0.38295773998266325
ETR,0.2605512233420868
EVRG,0.13303983396334396
EW,0.021351066022364612
EXC,0.1004717197274404
EXE,0.10427815151266419
EXPD,0.1425995906847992
EXPE,0.3477151603389084
EXR,0.009842988681866695
F,0.1502914038024995
FANG,0.12495589893656812
FAST,0.28237448894254213
FCX,0.18690682934678962
FDS,-0.09805102724590148
FDX,0.21276971889874016
FE,0.11710666300240959
FFIV,0.28316578036976775
FI,0.1269946477173454
FICO,0.5588034400899419
FIS,0.028110081395251462
FITB,0.17959239230217458
FOX,0.2548562389079049
FOXA,0.26611316141018687
FRT,0.09023747264675555
FSLR,0.31241459923371145
FTNT,0.2542882494831348
FTV,0.05755392446345504
GD,0.18002591441713398
GDDY,0.23444950558936883
GE,0.7022213183658631
GEN,0.16142713150465463
GILD,0.25015333566948245
GIS,-0.09336012266999492
GL,0.21016953850268522
GLW,0.39516845956048796
GM,0.24136179959158724
GNRC,0.09072107505105459
GOOG,0.3455927257251623
GOOGL,0.34680101818088754
GPC,0.028689351302442725
GPN,-0.020931528664042104
GRMN,0.4440842047058716
GS,0.3708010610013041
GWW,0.24235205344176045
HAL,0.04179557892947668
HAS,0.1311393850290448
HBAN,0.16868814743512547
HCA,0.2902831861151267
HD,0.1546214393592806
HIG,0.2791425761656351
HII,0.1448394872663303
HLT,0.2700653073676571
HOLX,0.036636019519694356
HON,0.09587152692084598
HOOD,1.0769335953152335
HPE,0.31336067557647296
HPQ,0.0879571120292295
HRL,-0.15315184831493261
HSIC,0.017301873820242435
HST,0.09333160342168681
HSY,0.00417920128196098
HUBB,0.24742202955909115
HUM,-0.11242175493289225
HWM,0.6314042979853323
IBKR,0.5431251902838417
IBM,0.3454376781385965
ICE,0.21357482972444802
IDXX,0.2598273730819568
IEX,-0.03504866625699403
IFF,-0.06421567239167357
INCY,0.11609810915120954
INTC,0.2465302681566046
INTU,0.22494539773305355
INVH,-0.004907263939275421
IP,0.21279342670059692
IPG,0.07103743321174694
IQV,0.07690881092458764
IR,0.23529316619913918
IRM,0.3394599541121838
ISRG,0.3192328700152404
IT,0.0038193813866451106
ITW,0.14310436847477115
IVZ,0.264054059502564
J,0.19348443163894224
JBHT,-0.011420858349043292
JBL,0.4741600251371755
JCI,0.29669067432137125
JKHY,-0.04467619840171958
JNJ,0.08895597576699903
JPM,0.392726500389553
K,0.11956427829843186
KDP,-0.07461026723731108
KEY,0.1772327376198684
KEYS,0.05758228255429056
KHC,-0.021820130042800222
KIM,0.11428175424014864
KKR,0.4118103525848026
KLAC,0.5003658790005949
KMB,0.07060713487646192
KMI,0.23927715613204392
KMX,-0.04545357207316277
KO,0.09510837945521987
KR,0.18107292791205964
L,0.23820483743526205
LDOS,0.29411460862496236
LEN,0.2354776721153147
LH,0.1715601854660586
LHX,0.14048894929152808
LII,0.3430590638322229
LIN,0.19423199812442574
LKQ,-0.09056232725624735
LLY,0.3770078874633909
LMT,0.12341567551402968
LNT,0.1198055208235395
LOW,0.12456277192253795
LRCX,0.5408754689318704
LULU,-0.09937892124183284
LUV,0.08304069070325307
LVS,0.13734893425408132
LW,0.020397317959293212
LYB,-0.05913316422443701
LYV,0.2688672771464969
MA,0.24586635147897082
MAA,0.015788531257840504
MAR,0.24165788944549177
MAS,0.17391856327086053
MCD,0.11551406756354687
MCHP,0.12152396518164632
MCK,0.277547689957143
MCO,0.2467748876503393
MDLZ,0.07258433585725972
MDT,0.10226474867072659
MET,0.1412721571728092
META,0.6352378104195784
MGM,0.0802743609207771
MHK,0.15787392347192905
MKC,0.02349300547368897
